2019-04-15T03:17:48.504 ,CyclicGen_train ,<module> ,INFO ,train_dir: ./train_dir
2019-04-15T03:18:02.512 ,CyclicGen_train ,train ,DEBUG ,all_layers:hed/side_1/Variable:0 | hed/side_1/Variable_1:0 | hed/side_1/Variable_2:0 | hed/side_2/Variable:0 | hed/side_2/Variable_1:0 | hed/side_2/Variable_2:0 | hed/side_3/Variable:0 | hed/side_3/Variable_1:0 | hed/side_3/Variable_2:0 | hed/side_4/Variable:0 | hed/side_4/Variable_1:0 | hed/side_4/Variable_2:0 | hed/side_5/Variable:0 | hed/side_5/Variable_1:0 | hed/side_5/Variable_2:0 | hed/Variable:0 | Cycle_DVF/conv1/weights:0 | Cycle_DVF/conv1/BatchNorm/beta:0 | Cycle_DVF/conv1_1/weights:0 | Cycle_DVF/conv1_1/BatchNorm/beta:0 | Cycle_DVF/conv2/weights:0 | Cycle_DVF/conv2/BatchNorm/beta:0 | Cycle_DVF/conv2_1/weights:0 | Cycle_DVF/conv2_1/BatchNorm/beta:0 | Cycle_DVF/conv3/weights:0 | Cycle_DVF/conv3/BatchNorm/beta:0 | Cycle_DVF/conv3_1/weights:0 | Cycle_DVF/conv3_1/BatchNorm/beta:0 | Cycle_DVF/conv4/weights:0 | Cycle_DVF/conv4/BatchNorm/beta:0 | Cycle_DVF/conv4_1/weights:0 | Cycle_DVF/conv4_1/BatchNorm/beta:0 | Cycle_DVF/conv5/weights:0 | Cycle_DVF/conv5/BatchNorm/beta:0 | Cycle_DVF/conv5_1/weights:0 | Cycle_DVF/conv5_1/BatchNorm/beta:0 | Cycle_DVF/conv6/weights:0 | Cycle_DVF/conv6/BatchNorm/beta:0 | Cycle_DVF/conv6_1/weights:0 | Cycle_DVF/conv6_1/BatchNorm/beta:0 | Cycle_DVF/conv7/weights:0 | Cycle_DVF/conv7/BatchNorm/beta:0 | Cycle_DVF/conv7_1/weights:0 | Cycle_DVF/conv7_1/BatchNorm/beta:0 | Cycle_DVF/conv8/weights:0 | Cycle_DVF/conv8/BatchNorm/beta:0 | Cycle_DVF/conv8_1/weights:0 | Cycle_DVF/conv8_1/BatchNorm/beta:0 | Cycle_DVF/conv9/weights:0 | Cycle_DVF/conv9/BatchNorm/beta:0 | Cycle_DVF/conv9_1/weights:0 | Cycle_DVF/conv9_1/BatchNorm/beta:0 | Cycle_DVF/conv10/weights:0 | Cycle_DVF/conv10/BatchNorm/beta:0 | Cycle_DVF/conv10_1/weights:0 | Cycle_DVF/conv10_1/BatchNorm/beta:0 | Cycle_DVF/conv11/weights:0 | Cycle_DVF/conv11/BatchNorm/beta:0 | Cycle_DVF/conv11_1/weights:0 | Cycle_DVF/conv11_1/BatchNorm/beta:0 | Cycle_DVF/conv12/weights:0 | Cycle_DVF/conv12/biases:0
2019-04-15T03:18:02.512 ,CyclicGen_train ,train ,DEBUG ,optimize layers:Cycle_DVF/conv1/weights:0 | Cycle_DVF/conv1/BatchNorm/beta:0 | Cycle_DVF/conv1_1/weights:0 | Cycle_DVF/conv1_1/BatchNorm/beta:0 | Cycle_DVF/conv2/weights:0 | Cycle_DVF/conv2/BatchNorm/beta:0 | Cycle_DVF/conv2_1/weights:0 | Cycle_DVF/conv2_1/BatchNorm/beta:0 | Cycle_DVF/conv3/weights:0 | Cycle_DVF/conv3/BatchNorm/beta:0 | Cycle_DVF/conv3_1/weights:0 | Cycle_DVF/conv3_1/BatchNorm/beta:0 | Cycle_DVF/conv4/weights:0 | Cycle_DVF/conv4/BatchNorm/beta:0 | Cycle_DVF/conv4_1/weights:0 | Cycle_DVF/conv4_1/BatchNorm/beta:0 | Cycle_DVF/conv5/weights:0 | Cycle_DVF/conv5/BatchNorm/beta:0 | Cycle_DVF/conv5_1/weights:0 | Cycle_DVF/conv5_1/BatchNorm/beta:0 | Cycle_DVF/conv6/weights:0 | Cycle_DVF/conv6/BatchNorm/beta:0 | Cycle_DVF/conv6_1/weights:0 | Cycle_DVF/conv6_1/BatchNorm/beta:0 | Cycle_DVF/conv7/weights:0 | Cycle_DVF/conv7/BatchNorm/beta:0 | Cycle_DVF/conv7_1/weights:0 | Cycle_DVF/conv7_1/BatchNorm/beta:0 | Cycle_DVF/conv8/weights:0 | Cycle_DVF/conv8/BatchNorm/beta:0 | Cycle_DVF/conv8_1/weights:0 | Cycle_DVF/conv8_1/BatchNorm/beta:0 | Cycle_DVF/conv9/weights:0 | Cycle_DVF/conv9/BatchNorm/beta:0 | Cycle_DVF/conv9_1/weights:0 | Cycle_DVF/conv9_1/BatchNorm/beta:0 | Cycle_DVF/conv10/weights:0 | Cycle_DVF/conv10/BatchNorm/beta:0 | Cycle_DVF/conv10_1/weights:0 | Cycle_DVF/conv10_1/BatchNorm/beta:0 | Cycle_DVF/conv11/weights:0 | Cycle_DVF/conv11/BatchNorm/beta:0 | Cycle_DVF/conv11_1/weights:0 | Cycle_DVF/conv11_1/BatchNorm/beta:0 | Cycle_DVF/conv12/weights:0 | Cycle_DVF/conv12/biases:0
2019-04-15T03:18:21.066 ,tf_logging ,info ,INFO ,Restoring parameters from hed_model/new-model.ckpt
2019-04-15T03:18:21.650 ,CyclicGen_train ,train ,INFO ,data_size: 22461
2019-04-15T03:18:21.651 ,CyclicGen_train ,train ,INFO ,num_steps_per_epoch: 2807
2019-04-15T03:18:21.651 ,CyclicGen_train ,train ,INFO ,max_steps: 14035
2019-04-15T03:18:21.651 ,CyclicGen_train ,train ,INFO ,s1_steps: 2807
2019-04-15T03:18:56.853 ,CyclicGen_train ,train ,INFO ,Epoch Number: 0
2019-04-15T04:25:45.621 ,CyclicGen_train ,train ,INFO ,Epoch Number: 1
2019-04-15T05:32:31.446 ,CyclicGen_train ,train ,INFO ,Epoch Number: 2
2019-04-15T06:39:20.985 ,CyclicGen_train ,train ,INFO ,Epoch Number: 3
2019-04-15T07:46:10.886 ,CyclicGen_train ,train ,INFO ,Epoch Number: 4
